SCULSCA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,REFU_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SHIN_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCULSILV,BAKE_A,FARA_A,NA,NA,NA,GARC_A,GUKT_A,NA,KAGK_A,KAHS_B,NA,NA,NFEI_A,NOSK_A,NA,REFU_A,NA,NA,SYLB_B,NA,NA,GUKT_B,KAGK_B,KAHS_A,NA,NA,NOSK_E,REEF_A,REEF_B,SFEI_A,NA,NA,NA,NA,NA,NA,NA,NOSK_B,SALA_A,SHIN_A,NA,BAKE_B,NA,NA,NICH_A,NA,NA,HECA_B,NA,NA,NA,NA,NA,NA
SCULSMO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HETA_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCULTIDE,NA,FARA_A,NA,NA,DUNB_A,GARC_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,REFU_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDABPAC,NA,FARA_A,NA,NA,DUNB_A,GARC_A,NA,HUNT_A,KAGK_A,NA,0TZ_A,NA,NFEI_A,NA,NA,REFU_A,SUKK_A,NA,NA,BLAQ_A,NA,NA,NA,NA,NA,NA,NA,REEF_A,NA,SFEI_A,TAHB_A,NA,NA,NA,NA,HETA_A,NA,NA,NA,SHIN_A,SODA_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SDABSPKL,NA,FARA_A,SHKN_A,NA,DUNB_A,NA,NA,NA,NA,KAHS_B,0TZ_A,0TZ_C,NFEI_A,NA,NA,REFU_A,NA,NA,NA,NA,DALL_A,NA,KAGK_B,NA,NA,NA,NOSK_E,NA,NA,SFEI_A,NA,NA,CHUS_B,NA,GOAT_A,NA,NA,NA,SALA_A,SHIN_A,NA,NA,NA,NA,NA,NA,NA,NA,HECA_A,NA,NA,NA,NA,NA
SLENEEL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOAT_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SOLEBUT,NA,NA,NA,NA,DUNB_A,NA,NA,NA,KAGK_A,NA,NA,NA,NA,NA,NPAS_A,NA,NA,NA,NA,NA,NA,GUKT_B,NA,NA,NA,NA,NA,NA,NA,SFEI_A,NA,NA,CHUS_B,NA,NA,NA,0UK_A,NA,SALA_A,SHIN_A,NA,NA,NA,NA,NA,NA,NA,NA,HECA_A,NA,NFEI_B,NA,NA,NA
SOLECO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NFEI_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KAHS_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,GOAT_A,HETA_A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HECA_B,NA,NA,NA,NA,NA,NA
SOLEENG,NA,FARA_A,NA,CALD_A,DUNB_A,GARC_A,GUKT_A,NA,KAGK_A,NA,0TZ_A,0TZ_C,NFEI_A,NOSK_A,NPAS_A,REFU_A,SUKK_A,NA,NA,NA,DALL_A,NA,KAGK_B,NA,NA,NA,NOSK_E,REEF_A,REEF_B,NA,TAHB_A,BOST_B,NA,CHUS_A,NA,HETA_A,0UK_A,NOSK_B,SALA_A,SHIN_A,SODA_A,NA,NA,NA,NA,NA,NA,NA,HECA_A,KLWA_A,NA,NA,NA,NA
SOLEROC,NA,NA,SHKN_A,CALD_A,DUNB_A,NA,GUKT_A,NA,KAGK_A,KAHS_B,0TZ_A,0TZ_C,NFEI_A,NOSK_A,NPAS_A,REFU_A,NA,NA,NA,NA,DALL_A,GUKT_B,KAGK_B,KAHS_A,NA,NA,NA,REEF_A,NA,SFEI_A,NA,NA,NA,CHUS_A,GOAT_A,NA,0UK_A,NA,SALA_A,SHIN_A,SODA_A,NA,NA,NA,NA,SWAD_A,NA,NA,NA,NA,NA,NA,NA,NA
